time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V
0.54525,499.794319885773,0.105391445438184,0.00526957227190922,2.61691693943175,52.338338788635,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.5453,499.794490452365,0.105390881766857,0.00526954408834285,2.61691783251634,52.3383566503268,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.54535,499.794660876555,0.105390323817161,0.00526951619085806,2.61691872485531,52.3383744971063,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.5454,499.794831159683,0.105389771328145,0.00526948856640725,2.61691961645569,52.3383923291137,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.54545,499.795001303031,0.105389224051416,0.00526946120257079,2.61692050732417,52.3384101464834,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.5455,499.795171307821,0.105388681750535,0.00526943408752677,2.61692139746717,52.3384279493434,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.54555,499.79534117522,0.105388144200444,0.00526940721002221,2.61692228689079,52.3384457378158,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.5456,499.795510906345,0.105387611186913,0.00526938055934566,2.61692317560088,52.3384635120176,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.54565,499.79568050226,0.105387082506022,0.00526935412530112,2.61692406360302,52.3384812720603,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.5457,499.795849963983,0.105386557963664,0.00526932789818321,2.61692495090252,52.3384990180505,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
